brand,slug,asset_type,current_media_id,candidate_source_url,source_owner,usage_basis,rights_confidence,file_format,decision,new_media_id,assigned,notes
LaLamour,lalamour,logo,NULL,https://lalamour.eu,LaLamour B.V.,Reseller Media Kit,MEDIUM,PNG,REVIEW,NULL,NO,Download aus niederländischem B2B-Portal
LaLamour,lalamour,title_image,NULL,https://lalamour.eu,LaLamour B.V.,B2B Lookbook,MEDIUM,JPG,MISSING,NULL,NO,Lookbook-Bild aus B2B-Portal erforderlich
Nomads,nomads,logo,NULL,https://nomadsclothing.com,Nomads Clothing,Wholesale Portal,MEDIUM,PNG,REVIEW,NULL,NO,Stockist-Download über Nomads Wholesale
Nomads,nomads,title_image,NULL,https://nomadsclothing.com,Nomads Clothing,Trade Image Bank,MEDIUM,JPG,MISSING,NULL,NO,Blockprint-Modelmotiv aus Image Bank erforderlich
Circus,circus,logo,NULL,https://circusclothing.eu,Circus Apparel Ireland Ltd,Wholesale Stockist Hub,MEDIUM,PNG,REVIEW,NULL,NO,Download über irisches Großhandelsportal
Circus,circus,title_image,NULL,https://circusclothing.eu,Circus Apparel Ireland Ltd,Wholesale Lookbook,MEDIUM,JPG,MISSING,NULL,NO,Modern-Vintage Motiv aus Lookbook erforderlich
Angels,angels,logo,NULL,https://angels-jeans.de,Angels GmbH,B2B Händlerportal,MEDIUM,PNG,REVIEW,NULL,NO,B2B-Portal Download erforderlich
Angels,angels,title_image,d95380cc-7402-4e79-854a-83a0a504be16,https://angels-jeans.de,Angels GmbH,B2B Bilddatenbank,MEDIUM,JPG,KEEP_TEMPORARILY,NULL,NO,Generisches Boutique-Bild bleibt bis Lookbook-Erhalt aktiv
Stehmann,stehmann,logo,NULL,https://stehmann-store.de,Stehmann Mode GmbH,B2B Portal,MEDIUM,PNG,REVIEW,NULL,NO,Download aus Stehmann Händlerbereich
Stehmann,stehmann,title_image,NULL,https://stehmann-store.de,Stehmann Mode GmbH,Fachhändler-Werbemittel,MEDIUM,JPG,MISSING,NULL,NO,Ina-Tragemotiv aus Händlerbereich erforderlich
Emily van den Bergh,emily-van-den-bergh,logo,NULL,https://etori.de,Just E GmbH / Handel,Handelsportal,MEDIUM,PNG,REVIEW,NULL,NO,Offizielle Schreibweise bestätigt; B2B-Download erforderlich
Emily van den Bergh,emily-van-den-bergh,title_image,42c97f46-e817-4af4-9859-241798dbf7da,https://etori.de,Just E GmbH / Handel,Großhandelskatalog,MEDIUM,JPG,KEEP_TEMPORARILY,NULL,NO,Generisches Store-Bild bleibt aktiv bis Lookbook-Erhalt
Madness,madness,logo,NULL,https://madness-online.com,Madness GmbH,Händlerportal,MEDIUM,PNG,REVIEW,NULL,NO,Download aus Madness Händlerbereich
Madness,madness,title_image,ab21b542-386b-4736-9b2b-7c3b4bfe47f9,https://madness-online.com,Madness GmbH,Presse-/Händlerdatenbank,MEDIUM,JPG,KEEP_TEMPORARILY,NULL,NO,Generisches Store-Bild bleibt aktiv bis Kampagnenbild-Erhalt
Heidekönigin,heidekoenigin,logo,NULL,https://heidekoenigin.de,Heidekönigin,B2B Händlerportal,MEDIUM,PNG,REVIEW,NULL,NO,Download aus Heidekönigin Händlerportal
Heidekönigin,heidekoenigin,title_image,NULL,https://heidekoenigin.de,Heidekönigin,Fachhändlermarketing,MEDIUM,JPG,MISSING,NULL,NO,Allover-Print Kampagnenbild erforderlich
King Louie,king-louie,logo,NULL,https://kinglouie.de,Klooster B.V.,Reseller Media Portal,MEDIUM,PNG,REVIEW,NULL,NO,Download über King Louie B2B-Zugang
King Louie,king-louie,title_image,e5c4bc2c-04d4-4dfe-aae4-444d6c21a655,https://kinglouie.de,Klooster B.V.,Reseller Lookbook,MEDIUM,JPG,KEEP_TEMPORARILY,NULL,NO,Generisches Store-Bild bleibt aktiv bis Lookbook-Erhalt
